"age","sex","survived"
29,"male",0
34,"male",0
41,"female",1
4,"male",0
20.5,"male",0
39,"male",0
51,"male",0
19,"female",1
39,"male",0
54,"female",1
21,"female",1
22,"male",1
47,"male",0
35,"female",1
11,"female",0
22,"male",0
62,"male",0
58,"female",1
38,"male",1
58,"female",1
14,"female",1
34,"male",1
18,"male",0
20,"female",0
36,"female",1
36,"male",0
45,"male",0
27,"male",1
31,"female",1
40,"male",0
22,"male",0
25,"male",0
38,"female",1
28,"female",1
5,"female",1
4,"female",1
21,"male",0
25,"female",0
35,"male",1
20,"male",1
39,"male",0
24,"male",1
30,"female",0
7,"female",1
30,"female",1
48,"male",0
8,"male",1
30,"male",0
18,"female",1
38,"male",0
51,"female",1
56,"female",1
31,"male",0
20,"male",0
42,"male",0
18,"female",0
17,"female",1
19,"male",0
39,"male",0
22,"male",0
50,"male",1
32,"male",1
28,"male",0
30,"male",0
16,"female",1
60,"male",0
2,"female",1
19,"male",0
18,"female",0
7,"male",0
31,"male",0
18,"male",0
45,"female",0
4,"male",1
39,"male",0
30,"female",1
20,"male",0
34,"male",0
19,"male",0
25,"male",1
24,"male",0
38,"female",1
22,"female",1
37,"male",1
43,"male",0
20,"male",1
18,"female",0
35,"female",1
58,"female",1
18,"male",0
31,"male",0
35,"male",0
24,"male",0
16,"male",0
40,"male",0
22,"male",0
46,"male",0
11,"male",0
19,"male",0
56,"female",1
30,"male",0
34,"male",0
62,"male",1
16,"female",1
18,"female",0
29,"male",1
16,"male",0
23,"male",0
18,"male",0
17,"female",1
2,"male",0
17,"female",1
8,"male",0
22,"male",0
47,"male",0
38,"male",1
19,"female",1
46,"male",0
31,"female",1
22,"female",1
24,"female",1
22,"male",0
49,"female",1
4,"male",1
45,"female",1
10,"female",0
52,"male",1
29,"male",0
20,"male",0
32,"male",0
35,"female",1
19,"male",0
47,"male",0
8,"male",1
8,"female",0
32,"male",1
27,"male",1
21,"male",0
2,"male",0
16,"male",0
54,"male",0
1,"female",1
9,"male",0
38,"male",1
21,"female",0
5,"female",1
35,"female",1
32,"male",0
26,"male",0
54,"female",1
47,"male",0
34,"male",0
30,"male",0
27,"female",1
29,"male",0
32,"male",0
38,"male",1
35,"female",1
1,"male",1
35,"male",0
22,"female",1
24,"female",1
25,"female",1
28,"male",0
34,"male",0
29,"male",0
22,"female",1
18,"male",0
23.5,"male",0
28,"male",0
4,"male",0
28,"male",0
47,"male",0
41,"male",0
28,"male",0
54,"female",1
8,"female",1
28,"male",0
20,"male",0
20,"male",0
48,"female",1
34,"male",0
30,"male",0
16,"male",0
63,"female",1
16,"male",0
34,"female",1
65,"male",0
45,"male",1
19,"male",0
27,"male",1
16,"male",0
15,"female",1
31,"male",1
50,"male",1
36.5,"male",0
16,"male",0
21,"male",0
27,"male",0
36,"male",0
55,"female",1
21,"male",0
24,"male",0
28,"male",0
2,"male",0
38,"male",0
48,"male",1
63,"female",1
1,"male",1
19,"male",0
36.5,"male",0
33,"male",0
15,"male",0
37,"male",0
34,"female",1
22,"female",0
57,"female",0
20,"male",0
48,"male",0
74,"male",0
44,"male",0
40,"female",1
25,"male",0
27,"male",0
33,"male",0
19,"female",1
29,"male",0
31,"male",0
19,"male",0
40,"female",1
35,"male",1
18,"female",1
33,"male",0
22,"male",0
27,"male",1
22,"male",0
35,"male",1
24,"male",0
33,"female",1
24,"female",0
42,"female",1
4,"female",1
17,"male",0
0.67,"male",1
45,"female",0
33,"male",0
19,"male",1
6,"female",0
22,"male",1
21,"female",0
52,"male",1
17,"male",0
18,"male",0
55,"female",1
36,"female",1
19,"male",0
27,"male",1
29,"female",1
15,"female",1
21,"female",1
21,"female",1
39,"female",0
40,"male",0
23,"male",0
42,"male",1
55,"male",0
27,"male",1
